product_name,product_link,review_date,review_title,review_rating,review_comment
Mobil 1 Super 3000 Formula 5W-40 Fully Synthetic Car Engine Oil (3.5 L),https://www.amazon.in/Mobil-Super-Formula-Synthetic-Engine/dp/B0755GN2VM,8 January 2019,good original mobil1 oil my petrol car engine running smoothly ,4,good oil from mobil1 used first time in my petrol hyundai i10 just after pouring it into my engine my car s engine felt like got extra power and smoothness from the first drive the pickup and smoothness drastically improved used it after flushing my engine oil compartment with liqui moly engine cleaner flusher 
Mobil 1 Super 3000 Formula 5W-40 Fully Synthetic Car Engine Oil (3.5 L),https://www.amazon.in/Mobil-Super-Formula-Synthetic-Engine/dp/B0755GN2VM,25 January 2020,true to its performance ,5,tried the full synthetic engine oil for the first time in my wagon r 2011 k10 engine which is inherently noisy my car has done around 41000 kms did a engine flush with stp oil and refilled with mobil super 3000 5w 40 oil from a street mechanic charged rs 200 labour only for engine flush oil change oil filter change spark plug the initial reaction was normal and didnt feel much of a difference then drove around 400 kms and omg i was soo thrilled with the performance the pick up was superb and the car never ran out of breath in the highways with 4 passengers could overtake cars with ease the car felt so smooth and new the engine sound did reduce and became v smooth and less vibrations during idle i am loving every drive now its become so pleasant and quite yet to check out the milege would highly recomend this product over non synthetic oils specially if u love driving your vehicle package was new and seals were intact 
Mobil 1 Super 3000 Formula 5W-40 Fully Synthetic Car Engine Oil (3.5 L),https://www.amazon.in/Mobil-Super-Formula-Synthetic-Engine/dp/B0755GN2VM,18 September 2020,best engine oil ,5,thankyou amazon this is the best value for money fully synthetic engine oil from mobil this is my 3rd using best engine oil for fiat 1 3 multiget diesel engines my tata vista quadrajet diesel car running smoothly with this oil mileage smoothness and power improved easily run 10000km 
Mobil 1 Super 3000 Formula 5W-40 Fully Synthetic Car Engine Oil (3.5 L),https://www.amazon.in/Mobil-Super-Formula-Synthetic-Engine/dp/B0755GN2VM,27 January 2020,engine oil ,3,engine bit rough i am surprise to see the performance of my car where as i was expecting smooth run i generally use castrol magnetic engine oil but this time i tried to use synthetic engine oil very disappointing 
Mobil 1 Super 3000 Formula 5W-40 Fully Synthetic Car Engine Oil (3.5 L),https://www.amazon.in/Mobil-Super-Formula-Synthetic-Engine/dp/B0755GN2VM,5 January 2020,awesome product packaging is ordinary ,5,pick up incsreased instantly good mileage engine noise reduced than before work on packing guys it can crack the bottle and cause leakage packing is a risk while purchasing its just a box with bubble wraps on one side product should be wrapped in bubble wrap nicely else overall the product is best in this rate 
Mobil 1 Super 3000 Formula 5W-40 Fully Synthetic Car Engine Oil (3.5 L),https://www.amazon.in/Mobil-Super-Formula-Synthetic-Engine/dp/B0755GN2VM,10 September 2021,good product exxon always been in synthetic engine oil space ,5,my car is 10 years old and it is a diesel car and so automatically engine noise is high during servicing engine oil changed along with fuel and oil filter and now mileage has increased after servicing drove from kolkata to mumbai 2351 km and mileage was good go for exxon syntheic engine oil always if you want to have better mileage and overall performance 
Mobil 1 Super 3000 Formula 5W-40 Fully Synthetic Car Engine Oil (3.5 L),https://www.amazon.in/Mobil-Super-Formula-Synthetic-Engine/dp/B0755GN2VM,18 November 2019,good oil but needs better packing and timely delivery ,3,i was searching for a good oil for my honda city ivtec selected this oil delivery was late expected to be delivered by saturday but arrived on monday packing was worst a transparent polythene check pics which i uploaded thank god oil didn t leaked oil quality is good this is my genuine review hope it helps will update after 1000km running 
Mobil 1 Super 3000 Formula 5W-40 Fully Synthetic Car Engine Oil (3.5 L),https://www.amazon.in/Mobil-Super-Formula-Synthetic-Engine/dp/B0755GN2VM,19 March 2020,value for money oil ,5,good oil at reasonable price engine vibration reduced comparing to previous mineral oil engine pickup drastically increased and engine sounds very smooth need to find how long this will last 
Mobil 1 Super 3000 Formula 5W-40 Fully Synthetic Car Engine Oil (3.5 L),https://www.amazon.in/Mobil-Super-Formula-Synthetic-Engine/dp/B0755GN2VM,22 January 2021,anyday would prefer mobil 1 fs over mobil super 3000 ,3,using mobil brand since years now for my car tried out mobil super mobil 1 fs both i personally feel mobil 1 fs is better made the gear shifts smooth in my amt car and mild improvement in the car pick up mobil 1 fs is also the flagship product so go for it hardly 500 to 600rs difference in the cost 
Roger Car Engine Oil Ceramic Coating with 8 ml Quantity Injection for Petrol and Diesel Cars,https://www.amazon.in/Roger-Ceramic-Coating-Quantity-Injection/dp/B01DLPBCXE,5 March 2020,excellent pickup low noise level engine no more lag jerk ,5,excellent i added to my last year ford ecosport tdci 27k km done superb change i see just after 50km drive diesel engine lags gone sound reduced i see a pickup change excellent pickup low sound no further lag no further jerks engine lags superb just ordered and see a change i see as same new ecosport from showroom smooth and power engine diesel engine i use to go 1st gear at signal now i can move direct with second gear superb excellent change i will order after 20k run or after 40k one more 
