product_name,product_link,review_date,review_title,review_rating,review_comment
FABTEC Car LED Focus High Power LED Bar Light Spot + Flood Beam CREE LED Fog Light Beam Light Off-Roading for All Cars Bar light [96 LED 21 INCH],https://www.amazon.in/FABTEC-Focus-Light-Flood-Off-Roading/dp/B085NLB4CT/ref=cm_cr_arp_d_product_top?ie=UTF8,28 September 2021,great product ,3,bightness is good compared to other led bars but the build quality is poor and there were gaps at both the ends from where dust and water can enter so i managed to fill them with glue gun over all the product is good 
FABTEC Car LED Focus High Power LED Bar Light Spot + Flood Beam CREE LED Fog Light Beam Light Off-Roading for All Cars Bar light [96 LED 21 INCH],https://www.amazon.in/FABTEC-Focus-Light-Flood-Off-Roading/dp/B085NLB4CT/ref=cm_cr_arp_d_product_top?ie=UTF8,10 December 2021,if your car is old so you can definitely use it ,5,everage ok ok just you can use for 2 3 hrs then this is ver heat need rest 15mint otherwise your light crome is burning startsee my video my car light is yellow and led is white so i get good performance bcoz my car is old so 
FABTEC Car LED Focus High Power LED Bar Light Spot + Flood Beam CREE LED Fog Light Beam Light Off-Roading for All Cars Bar light [96 LED 21 INCH],https://www.amazon.in/FABTEC-Focus-Light-Flood-Off-Roading/dp/B085NLB4CT/ref=cm_cr_arp_d_product_top?ie=UTF8,21 July 2020,overall brightness is good centre light is low ends lights are much brighter ,4,the ends lights of this item are very much brighter but the centre series of light is low but when we on all the lights of car the overall beam of light and brightness is very good 
FABTEC Car LED Focus High Power LED Bar Light Spot + Flood Beam CREE LED Fog Light Beam Light Off-Roading for All Cars Bar light [96 LED 21 INCH],https://www.amazon.in/FABTEC-Focus-Light-Flood-Off-Roading/dp/B085NLB4CT/ref=cm_cr_arp_d_product_top?ie=UTF8,17 July 2022,very cheap product not at all water proof will not last a monsoon unless u put areldite ,1,very cheap product not water proof fairly bright but very cheap plastic which will not last do not waste your money i own other lights that are more expensive but they will last these are really not worth the money you pay money down the drain buyer beware 
FABTEC Car LED Focus High Power LED Bar Light Spot + Flood Beam CREE LED Fog Light Beam Light Off-Roading for All Cars Bar light [96 LED 21 INCH],https://www.amazon.in/FABTEC-Focus-Light-Flood-Off-Roading/dp/B085NLB4CT/ref=cm_cr_arp_d_product_top?ie=UTF8,21 June 2022,item was already damaged when packed by supplier it didn t damaged during transit ,1,these type of suppliers ruins the full excitement of buyers i request amazon to blacklist such suooliers having history of sending damaged or low quality products i also expect that the trust and quality that esteemed amazon team has maintained needs to be saved and such suppliers should also be penalised for wasting time money and image of amazon and buyers 
FABTEC Car LED Focus High Power LED Bar Light Spot + Flood Beam CREE LED Fog Light Beam Light Off-Roading for All Cars Bar light [96 LED 21 INCH],https://www.amazon.in/FABTEC-Focus-Light-Flood-Off-Roading/dp/B085NLB4CT/ref=cm_cr_arp_d_product_top?ie=UTF8,24 March 2022,best light for commercial vehicles ,5,best light with this price range everything is good and the best part is its brightness it s like a vapour light but the only problem is it is not long lasting else everything is good 
FABTEC Car LED Focus High Power LED Bar Light Spot + Flood Beam CREE LED Fog Light Beam Light Off-Roading for All Cars Bar light [96 LED 21 INCH],https://www.amazon.in/FABTEC-Focus-Light-Flood-Off-Roading/dp/B085NLB4CT/ref=cm_cr_arp_d_product_top?ie=UTF8,5 April 2022,not at all worth the money even does not serve the purpose ,2,it s like a diwali light lit up not worth the money also seems to be really cheap quality have gaps around also cheap plastic 
FABTEC Car LED Focus High Power LED Bar Light Spot + Flood Beam CREE LED Fog Light Beam Light Off-Roading for All Cars Bar light [96 LED 21 INCH],https://www.amazon.in/FABTEC-Focus-Light-Flood-Off-Roading/dp/B085NLB4CT/ref=cm_cr_arp_d_product_top?ie=UTF8,25 March 2022,ok product ,3,not much a brightness just average product 
FABTEC Car LED Focus High Power LED Bar Light Spot + Flood Beam CREE LED Fog Light Beam Light Off-Roading for All Cars Bar light [96 LED 21 INCH],https://www.amazon.in/FABTEC-Focus-Light-Flood-Off-Roading/dp/B085NLB4CT/ref=cm_cr_arp_d_product_top?ie=UTF8,4 August 2020,sime led lights not working ,3,unfortunately 5 of the 96 led lights are not working i am not able to return it since i already made some adjustments on the light bar otherwise the quality seems to be ok quite bright 
FABTEC Car LED Focus High Power LED Bar Light Spot + Flood Beam CREE LED Fog Light Beam Light Off-Roading for All Cars Bar light [96 LED 21 INCH],https://www.amazon.in/FABTEC-Focus-Light-Flood-Off-Roading/dp/B085NLB4CT/ref=cm_cr_arp_d_product_top?ie=UTF8,5 October 2021,nice product worth for money ,4,nice product the light beam is so brighter it does spread wide suitable for small cars like hatchback 
