product_name,product_link,review_date,review_title,review_rating,review_comment
LAZI (10 Tablets) Multipurpose car windshield glass washer cleaner cleaning detergent Effervescent tablets wiper liquid fluid for car home office gadgets glass window wash cleaning cleaner accessories,https://www.amazon.in/LAZI-Tablets-windshield-glass-cleaning/dp/B09X5VSLKT,28 June 2022,better than soapwater ,4,you kinda get addicted to wiping your windows clean with this as it clears so finely that u cant even stand a little dust after that 
LAZI (10 Tablets) Multipurpose car windshield glass washer cleaner cleaning detergent Effervescent tablets wiper liquid fluid for car home office gadgets glass window wash cleaning cleaner accessories,https://www.amazon.in/LAZI-Tablets-windshield-glass-cleaning/dp/B09X5VSLKT,16 July 2022,not effective ,1,no effectivness 
LAZI (10 Tablets) Multipurpose car windshield glass washer cleaner cleaning detergent Effervescent tablets wiper liquid fluid for car home office gadgets glass window wash cleaning cleaner accessories,https://www.amazon.in/LAZI-Tablets-windshield-glass-cleaning/dp/B09X5VSLKT,24 June 2022,good product ,5,good product 
LAZI (10 Tablets) Multipurpose car windshield glass washer cleaner cleaning detergent Effervescent tablets wiper liquid fluid for car home office gadgets glass window wash cleaning cleaner accessories,https://www.amazon.in/LAZI-Tablets-windshield-glass-cleaning/dp/B09X5VSLKT,14 July 2022,wiper wash better then liquid ,5,good to buy same works has of liquid 
LAZI (10 Tablets) Multipurpose car windshield glass washer cleaner cleaning detergent Effervescent tablets wiper liquid fluid for car home office gadgets glass window wash cleaning cleaner accessories,https://www.amazon.in/LAZI-Tablets-windshield-glass-cleaning/dp/B09X5VSLKT,18 April 2022,product was delivered as loose tablets on polythene bag ,2,product was delivered as loose tablets on polythene bag 
LAZI (10 Tablets) Multipurpose car windshield glass washer cleaner cleaning detergent Effervescent tablets wiper liquid fluid for car home office gadgets glass window wash cleaning cleaner accessories,https://www.amazon.in/LAZI-Tablets-windshield-glass-cleaning/dp/B09X5VSLKT,20 April 2022,best than other used before ,5,i purchased this last week works well cleans glass pefectly no resedue strongly recommend it go for lazi tablets 
LAZI (10 Tablets) Multipurpose car windshield glass washer cleaner cleaning detergent Effervescent tablets wiper liquid fluid for car home office gadgets glass window wash cleaning cleaner accessories,https://www.amazon.in/LAZI-Tablets-windshield-glass-cleaning/dp/B09X5VSLKT,10 June 2022,,5,good 
Tidonux Car Cleaning Windshield Cleaners Glass Cleaner Wiper Detergent Tablets Washer Interior Accessories Solid Effervescent Window Pack of 10nos,https://www.amazon.in/Tidonux-Windshield-Detergent-Accessories-Effervescent/dp/B09RK6BDD3,6 April 2022,useless item ,1,this item is completely useless it doesn t add to cleaning of windshield in any way it s just a fancy concept it is much better to put liquid windshield cleaner in the tank even if you put a shampoo pouch in the tank that will also work better than this 
Tidonux Car Cleaning Windshield Cleaners Glass Cleaner Wiper Detergent Tablets Washer Interior Accessories Solid Effervescent Window Pack of 10nos,https://www.amazon.in/Tidonux-Windshield-Detergent-Accessories-Effervescent/dp/B09RK6BDD3,9 April 2022,quite a ok product ,3,have positive impact on the windscreen cleaning 
Tidonux Car Cleaning Windshield Cleaners Glass Cleaner Wiper Detergent Tablets Washer Interior Accessories Solid Effervescent Window Pack of 10nos,https://www.amazon.in/Tidonux-Windshield-Detergent-Accessories-Effervescent/dp/B09RK6BDD3,25 May 2022,good ,5,value of money 
3M IA260100036 Car care Glass Cleaner (250 ml),https://www.amazon.in/3M-IA260100036-care-Glass-Cleaner/dp/B00S5SBYVS,7 August 2020,cosmetic items depends on personal feelings ,4,unless u put ur effort to make it shine it will look the same s it cleans but buffing and manual cleaning physically will bring you the shine i saw my driver brings the same shine with water i saw my next house car driver brings better shine in a small shampoo pocket but am not sure what is chemical composition which is best for glass and car body u can give a try unless a real auto techie guy u will end up using this product for a year or two i bought and i dint have time to test this everytime may be i used 5 r 6 times 
3M IA260100036 Car care Glass Cleaner (250 ml),https://www.amazon.in/3M-IA260100036-care-Glass-Cleaner/dp/B00S5SBYVS,12 April 2021,not an impressive one ,3,been using glass cleaners from meguiers wanted to try this much cheaper one from 3m but not impressed with the way it works needs lots of solution to clean when compared to meguiars which took only very quantity to clean the same area of glass also there is no water repellent effect with this 
"3M Car Care Glass Cleaner, 500ml",https://www.amazon.in/3M-IA260166342-Auto-Specialty-Cleaner/dp/B00S5SB3LY,24 April 2019,fake adultered duplicate products ,1,the original 500ml bottle is big high quality plastic and has blue colour liquid in it as mentioned in the contents of the bottle whereas the duplicate bottle is small for the same 500ml bad quality plastic and the liquid in it is transparent water colour and no blue colourant even though it is mentioned in its ingredients on the label seller is cheating customers by selling mostly fake products these days all our money into the drain by the way the original was purchased directly from 3m car care store 
"3M Car Care Glass Cleaner, 500ml",https://www.amazon.in/3M-IA260166342-Auto-Specialty-Cleaner/dp/B00S5SB3LY,18 August 2019,just a mix of soapy water leaves smudges on the glass ,1,i ignored most reviews talking about this being duplicate product and bought anyways although it had a holographic sticker on nozzle but i still feel the one sold here is duplicate 3m product the mix appears to be soapy water with some sort of alcohol substance it leaves smudges which defeats the purpose of window cleaner i used it once right after washing my car and definitely not impressed with the outcome not recommended 
"3M Car Care Glass Cleaner, 500ml",https://www.amazon.in/3M-IA260166342-Auto-Specialty-Cleaner/dp/B00S5SB3LY,13 October 2021,it s a fake product ,1,this is a fake product the top sprayer is broken and was taped so that it doesn t leak there is no manufacturing date batch no expiry or mrp writen on it looks like a soap water inside so pls be careful 
"PROKLEAR ® WWC Windshield Wash Additive Concentrate 500ml -Just Add 5ml Per Fill, Keeps Windshield Clear and Wipers Lubricated 100 Refills, Anti Wiper Judder Formula",https://www.amazon.in/Proklear-Windshield-Additive-Concentrate-500ml/dp/B075QHWRWM,1 July 2019,great product ,5,hi after long time survey i ended up with this proklear wwc windshield wash and believe me it was great using this product till date i was using 15 maruti suzuki windshield wash pouch or waxpol windshield wash but this time switched to proklear and it is a great product though found it to be costly as compared to others but you get quality stuff and has to use a capful only no streakes left no glares at all on the windshield shared 10ml each with my friends as well all are happy that refreshing smell aahhhhh product delivery was good and fast properly wrapped in a bubble wrap no leaks either thumps up 
"PROKLEAR ® WWC Windshield Wash Additive Concentrate 500ml -Just Add 5ml Per Fill, Keeps Windshield Clear and Wipers Lubricated 100 Refills, Anti Wiper Judder Formula",https://www.amazon.in/Proklear-Windshield-Additive-Concentrate-500ml/dp/B075QHWRWM,29 July 2022,not promising as per reviews ,1,its easy to use and value for money but function for which i taken this is not promising as much very poor to clean windshield i applied in rainy condition but it is creating marks on windshield glass suddenly and you realise that you are unable to watch clearly creating poor visibility and hence creating safety issue i think company have to work thoroughly to resolve this big issue finally it s safety issue 
