product_name,product_link,review_date,review_title,review_rating,review_comment
"Woschmann-Car Replacement Wiper Blade Assembly for- Maruti BALENO 2ND GEN-21/18"" (Set of 2)",https://www.amazon.in/Woschmann-Car-Replacement-Assembly-Maruti-BALENO/dp/B09X1SK5WQ/ref=cm_cr_arp_d_product_top?ie=UTF8,21 May 2022,not suitable for honda civic 8th gen and not talking it back ,1,it is not suitable for honda civic 8th gen when i am trying to return the item no one is coming to pick it up literally felt cheated and after some time i won t be able to return it back ever 
"Woschmann-Car Replacement Wiper Blade Assembly for- Maruti BALENO 2ND GEN-21/18"" (Set of 2)",https://www.amazon.in/Woschmann-Car-Replacement-Assembly-Maruti-BALENO/dp/B09X1SK5WQ/ref=cm_cr_arp_d_product_top?ie=UTF8,29 July 2022,product shown is different received totally different one very cheap quality ,1,crazy seller amazon should ban these kind of merchants wiper blades advertised are different from what i received today very cheap quality returning these 
"Woschmann-Car Replacement Wiper Blade Assembly for- Maruti BALENO 2ND GEN-21/18"" (Set of 2)",https://www.amazon.in/Woschmann-Car-Replacement-Assembly-Maruti-BALENO/dp/B09X1SK5WQ/ref=cm_cr_arp_d_product_top?ie=UTF8,27 May 2022,good product ,5,quality good 
"Woschmann-Car Replacement Wiper Blade Assembly for- Maruti BALENO 2ND GEN-21/18"" (Set of 2)",https://www.amazon.in/Woschmann-Car-Replacement-Assembly-Maruti-BALENO/dp/B09X1SK5WQ/ref=cm_cr_arp_d_product_top?ie=UTF8,14 June 2022,good product quality nd original product ,5,product very niceproduct quality good 
"Woschmann-Car Replacement Wiper Blade Assembly for- Maruti BALENO 2ND GEN-21/18"" (Set of 2)",https://www.amazon.in/Woschmann-Car-Replacement-Assembly-Maruti-BALENO/dp/B09X1SK5WQ/ref=cm_cr_arp_d_product_top?ie=UTF8,3 July 2022,third class product not good not working properly i have been cheated ,1,not good not working properly i have been cheated by this product and exchange time had been miss by 1 day 
"Woschmann-Car Replacement Wiper Blade Assembly for- Maruti BALENO 2ND GEN-21/18"" (Set of 2)",https://www.amazon.in/Woschmann-Car-Replacement-Assembly-Maruti-BALENO/dp/B09X1SK5WQ/ref=cm_cr_arp_d_product_top?ie=UTF8,6 July 2022,the wiper is flimsy and it broke in a day ,1,wiper is flimsy 
"Woschmann-Car Replacement Wiper Blade Assembly for- Maruti BALENO 2ND GEN-21/18"" (Set of 2)",https://www.amazon.in/Woschmann-Car-Replacement-Assembly-Maruti-BALENO/dp/B09X1SK5WQ/ref=cm_cr_arp_d_product_top?ie=UTF8,25 May 2022,it doesn t fit my car ,1,i have received a different low quality product which doesn t even fit big nooooo 
"Woschmann-Car Replacement Wiper Blade Assembly for- Maruti BALENO 2ND GEN-21/18"" (Set of 2)",https://www.amazon.in/Woschmann-Car-Replacement-Assembly-Maruti-BALENO/dp/B09X1SK5WQ/ref=cm_cr_arp_d_product_top?ie=UTF8,6 August 2022,woschmann wiper blades ,5,fit it but within one week make sound not a good item verry poor 
"Woschmann-Car Replacement Wiper Blade Assembly for- Maruti BALENO 2ND GEN-21/18"" (Set of 2)",https://www.amazon.in/Woschmann-Car-Replacement-Assembly-Maruti-BALENO/dp/B09X1SK5WQ/ref=cm_cr_arp_d_product_top?ie=UTF8,6 July 2022,poor quality product ,1,poor quality product 
"Woschmann-Car Replacement Wiper Blade Assembly for- Maruti BALENO 2ND GEN-21/18"" (Set of 2)",https://www.amazon.in/Woschmann-Car-Replacement-Assembly-Maruti-BALENO/dp/B09X1SK5WQ/ref=cm_cr_arp_d_product_top?ie=UTF8,30 April 2022,very good ,5,very good 
"Bosch 3397011652 High Performance Replacement Wiper Blade, 26'",https://www.amazon.in/Bosch-3397011652-Performance-Replacement-Wiper/dp/B00P21MXW0/ref=cm_cr_arp_d_product_top?ie=UTF8,13 January 2021,good quality update after 2 months the clip brokefor no reason ,2,26 is bigger than the 24 stock nano wipers but they do a perfect job finish is quite premium so lets see how long they last 2 months later the wipers just came off one day and the clip broke while operating the wiper luckily it happened in my garage 
